frame,clip,MSE,PSNR,SSIM
0,PCA_rank10,23.704687,34.38246154785156,0.9753372615495719
0,SVD_rank10,0.0,inf,1.0
0,batch_rank10,732.7977,19.4809627532959,0.7060012302328676
1,PCA_rank10,23.219376,34.47229766845703,0.9744490632898224
1,SVD_rank10,0.0,inf,1.0
1,batch_rank10,801.42883,19.09215545654297,0.6966829152373775
2,PCA_rank10,22.69349,34.57179260253906,0.9756831079244068
2,SVD_rank10,0.0,inf,1.0
2,batch_rank10,812.23175,19.03400421142578,0.6948122323392162
3,PCA_rank10,26.224583,33.94371795654297,0.9729594956593096
3,SVD_rank10,0.0,inf,1.0
3,batch_rank10,774.6431,19.23978614807129,0.6995015114090676
4,PCA_rank10,24.03828,34.32176971435547,0.9731851922919135
4,SVD_rank10,0.0,inf,1.0
4,batch_rank10,506.0611,21.088773727416992,0.743116480962322
5,PCA_rank10,26.234062,33.9421501159668,0.9679612203107579
5,SVD_rank10,0.0,inf,1.0
5,batch_rank10,352.87683,22.654571533203125,0.7605663148942533
6,PCA_rank10,29.82677,33.38473892211914,0.9648513418988216
6,SVD_rank10,0.0,inf,1.0
6,batch_rank10,353.25775,22.649887084960938,0.7610737652284623
7,PCA_rank10,41.526093,31.947593688964844,0.9547194192308704
7,SVD_rank10,0.0,inf,1.0
7,batch_rank10,319.10718,23.09143829345703,0.7702480795371035
8,PCA_rank10,33.443645,32.88766860961914,0.9582586810484011
8,SVD_rank10,0.0,inf,1.0
8,batch_rank10,315.18918,23.145092010498047,0.7725703159498647
9,PCA_rank10,35.671875,32.6075439453125,0.9551010102828529
9,SVD_rank10,0.0,inf,1.0
9,batch_rank10,333.2851,22.90264320373535,0.7663236014608792
10,PCA_rank10,37.77672,32.358558654785156,0.9545885350976561
10,SVD_rank10,0.0,inf,1.0
10,batch_rank10,340.87906,22.80480194091797,0.7676500506072835
11,PCA_rank10,36.833332,32.46839141845703,0.9560086148264784
11,SVD_rank10,0.0,inf,1.0
11,batch_rank10,316.88046,23.121849060058594,0.7781288441611119
12,PCA_rank10,35.367603,32.644744873046875,0.957831789747387
12,SVD_rank10,0.0,inf,1.0
12,batch_rank10,211.96223,24.86821937561035,0.8269303251119967
13,PCA_rank10,26.95453,33.824485778808594,0.9644839285816527
13,SVD_rank10,0.0,inf,1.0
13,batch_rank10,165.53026,25.94202995300293,0.8442190371119817
14,PCA_rank10,15.704115,36.17066955566406,0.9755597782812642
14,SVD_rank10,0.0,inf,1.0
14,batch_rank10,187.99469,25.389347076416016,0.8358004210624547
15,PCA_rank10,13.92974,36.69137191772461,0.9778620192181429
15,SVD_rank10,0.0,inf,1.0
15,batch_rank10,198.89688,25.14452362060547,0.8350856964948389
16,PCA_rank10,14.611406,36.483882904052734,0.9776506067383886
16,SVD_rank10,0.0,inf,1.0
16,batch_rank10,244.31041,24.251384735107422,0.824359972181441
17,PCA_rank10,14.124479,36.631080627441406,0.9770756350208497
17,SVD_rank10,0.0,inf,1.0
17,batch_rank10,257.99188,24.014741897583008,0.8179313567640568
18,PCA_rank10,24.852345,34.177127838134766,0.9683916029034548
18,SVD_rank10,0.0,inf,1.0
18,batch_rank10,279.40833,23.668411254882812,0.8087188227127424
19,PCA_rank10,32.414845,33.02336502075195,0.9634533746233245
19,SVD_rank10,0.0,inf,1.0
19,batch_rank10,276.54642,23.713123321533203,0.8075840534784557
20,PCA_rank10,42.11094,31.88685417175293,0.9541080244025955
20,SVD_rank10,0.0,inf,1.0
20,batch_rank10,293.425,23.45583152770996,0.7981384053783421
21,PCA_rank10,44.718803,31.62590217590332,0.9522464198308245
21,SVD_rank10,0.0,inf,1.0
21,batch_rank10,337.51813,22.84783363342285,0.7838542952388093
22,PCA_rank10,48.993332,31.229434967041016,0.9493737048726795
22,SVD_rank10,0.0,inf,1.0
22,batch_rank10,353.14844,22.65123176574707,0.7804769991865365
23,PCA_rank10,40.982864,32.00477981567383,0.957503640869433
23,SVD_rank10,0.0,inf,1.0
23,batch_rank10,348.27094,22.711631774902344,0.7800927534473587
24,PCA_rank10,21.064116,34.89537048339844,0.9719194928108238
24,SVD_rank10,0.0,inf,1.0
24,batch_rank10,325.99594,22.998680114746094,0.7871397939436923
25,PCA_rank10,11.621563,37.47815704345703,0.9814290619835837
25,SVD_rank10,0.0,inf,1.0
25,batch_rank10,305.55963,23.279842376708984,0.7960101363359204
26,PCA_rank10,7.1734376,39.57353210449219,0.9835735458501004
26,SVD_rank10,0.0,inf,1.0
26,batch_rank10,310.84402,23.20537757873535,0.7920453717064092
27,PCA_rank10,6.153698,40.239444732666016,0.9862326143589525
27,SVD_rank10,0.0,inf,1.0
27,batch_rank10,321.24573,23.062429428100586,0.7842235952149413
28,PCA_rank10,6.553698,39.965938568115234,0.9868054851381534
28,SVD_rank10,0.0,inf,1.0
28,batch_rank10,304.95917,23.28838539123535,0.7921963812240199
29,PCA_rank10,11.093854,37.67998123168945,0.9818976522811234
29,SVD_rank10,0.0,inf,1.0
29,batch_rank10,286.84686,23.554304122924805,0.8025693112133231
30,PCA_rank10,12.5325,37.15042495727539,0.980132073819959
30,SVD_rank10,0.0,inf,1.0
30,batch_rank10,216.94229,24.76736068725586,0.8232492239583288
31,PCA_rank10,20.015781,35.1170768737793,0.9727271380700079
31,SVD_rank10,0.0,inf,1.0
31,batch_rank10,189.70406,25.35003662109375,0.8225520262805154
32,PCA_rank10,19.083647,35.324188232421875,0.9711620438789272
32,SVD_rank10,0.0,inf,1.0
32,batch_rank10,210.71432,24.893863677978516,0.791295231067526
33,PCA_rank10,19.94599,35.13224792480469,0.9710086870981335
33,SVD_rank10,0.0,inf,1.0
33,batch_rank10,281.76572,23.63192367553711,0.7488795548401082
34,PCA_rank10,13.402708,36.85887908935547,0.9775953468827574
34,SVD_rank10,0.0,inf,1.0
34,batch_rank10,290.4686,23.49981117248535,0.7249117878853919
35,PCA_rank10,24.15948,34.299930572509766,0.9681578421695153
35,SVD_rank10,0.0,inf,1.0
35,batch_rank10,385.8053,22.267122268676758,0.6800639077389188
36,PCA_rank10,11.000625,37.71662902832031,0.9787903910707645
36,SVD_rank10,0.0,inf,1.0
36,batch_rank10,405.245,22.053627014160156,0.6813299935538422
37,PCA_rank10,8.399896,38.888065338134766,0.9831823557485069
37,SVD_rank10,0.0,inf,1.0
37,batch_rank10,341.67786,22.794635772705078,0.7237433732750532
38,PCA_rank10,9.654792,38.28337478637695,0.979102233213774
38,SVD_rank10,0.0,inf,1.0
38,batch_rank10,201.2964,25.092445373535156,0.7954567077856507
39,PCA_rank10,6.2896876,40.14451599121094,0.9842747764515594
39,SVD_rank10,0.0,inf,1.0
39,batch_rank10,252.57187,24.106952667236328,0.7820257478790064
40,PCA_rank10,3.98375,42.12788009643555,0.9891808166819946
40,SVD_rank10,0.0,inf,1.0
40,batch_rank10,309.2073,23.22830581665039,0.767096748567751
41,PCA_rank10,17.971771,35.584896087646484,0.9702809456183026
41,SVD_rank10,0.0,inf,1.0
41,batch_rank10,309.09058,23.22994613647461,0.7606488892850963
42,PCA_rank10,56.01745,30.647571563720703,0.9356666645948944
42,SVD_rank10,0.0,inf,1.0
42,batch_rank10,368.5342,22.466026306152344,0.7441818798669687
43,PCA_rank10,71.188545,29.60670280456543,0.9233288820994209
